Team,Age,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year,Playoffs
Atlanta Hawks,27.2,31,51,102.3,106.1,91,0.313,0.177,0.527,0.476,15.7,27.9,0.248,0.469,12.1,70.4,0.222,2003,0
Boston Celtics*,26.9,40,42,101.2,101.6,90.9,0.306,0.331,0.514,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,2003,1
Chicago Bulls,25.2,27,55,100.2,105.6,93.5,0.3,0.148,0.512,0.471,15.4,27.7,0.217,0.47,13.3,69.5,0.263,2003,0
Cleveland Cavaliers,23.5,16,66,96.5,106.7,94,0.298,0.133,0.491,0.444,16.4,31,0.223,0.484,13,73.2,0.252,2003,0
Dallas Mavericks*,28.1,62,20,110.7,102.3,92.5,0.257,0.239,0.543,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,2003,1
Denver Nuggets,24.1,17,65,92.2,101.3,91,0.283,0.126,0.469,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,2003,0
Detroit Pistons*,29,52,30,104.1,99.9,86.8,0.322,0.237,0.523,0.473,13.3,25.9,0.248,0.461,13.9,74,0.225,2003,1
Golden State Warriors,24.4,38,44,108.3,109.5,94.2,0.343,0.178,0.526,0.472,13.9,35,0.267,0.482,12.2,67.9,0.22,2003,0
Houston Rockets,25.9,46,36,104.3,102.6,88.8,0.316,0.196,0.522,0.474,14.8,30.3,0.243,0.462,12.6,72.4,0.209,2003,0
Indiana Pacers*,25.9,51,31,104.6,100.8,91.6,0.344,0.169,0.522,0.469,13.7,29,0.263,0.458,14.3,72.3,0.228,2003,1
Los Angeles Clippers,25.3,29,53,102.3,106.8,91.3,0.335,0.182,0.516,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,2003,0
Los Angeles Lakers*,28.1,48,34,107.2,104.7,92.5,0.311,0.199,0.528,0.486,13.3,30.2,0.228,0.477,13.4,72.7,0.241,2003,1
Memphis Grizzlies,24.9,32,50,103.9,107.3,92.7,0.287,0.19,0.526,0.487,14.2,27,0.212,0.491,13.4,68.7,0.197,2003,0
Miami Heat,26.5,25,57,96.7,102.4,87.8,0.259,0.169,0.483,0.439,13.8,26.8,0.198,0.47,14.1,73.9,0.257,2003,0
Milwaukee Bucks*,29.3,42,40,108.8,108.6,90.4,0.287,0.229,0.543,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,2003,1
Minnesota Timberwolves*,28.2,47,35,106.1,103.8,91.9,0.268,0.118,0.528,0.488,12.9,28.2,0.206,0.472,12.7,72.9,0.203,2003,1
New Jersey Nets*,27.3,56,26,103.8,98.1,91.6,0.333,0.158,0.518,0.468,13.8,28.7,0.252,0.46,15.7,73.1,0.225,2003,1
New Orleans Hornets*,29.1,47,35,103.9,101.6,89.4,0.285,0.161,0.511,0.465,13.9,31.7,0.219,0.464,14,73.1,0.226,2003,1
New York Knicks,30.2,37,45,104.7,106.2,90.7,0.241,0.235,0.528,0.486,13.4,24.4,0.196,0.485,13.7,71.8,0.261,2003,0
Orlando Magic*,26.9,41,41,105.2,105,93.1,0.307,0.235,0.526,0.478,13.3,27,0.239,0.486,15.1,71.1,0.25,2003,1
Philadelphia 76ers*,28.3,48,34,105,102.5,91.4,0.339,0.119,0.52,0.466,13.7,30.3,0.263,0.488,16.2,72.7,0.243,2003,1
Phoenix Suns*,25.2,44,38,103.7,102.5,91.5,0.285,0.17,0.514,0.473,13.7,29.7,0.211,0.47,14.8,70.3,0.222,2003,1
Portland Trail Blazers*,29.2,49,33,105.5,102.6,89.4,0.3,0.177,0.531,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.194,2003,1
Sacramento Kings*,28.3,59,23,105.9,99.1,95.4,0.262,0.184,0.535,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,2003,1
San Antonio Spurs*,28.4,57,25,105.6,99.7,90,0.348,0.202,0.541,0.497,15.1,28.8,0.253,0.453,14.2,71.3,0.199,2003,1
Seattle SuperSonics,26.9,41,41,103.7,103.9,88,0.27,0.196,0.512,0.472,12.8,28.1,0.201,0.484,14.3,71.8,0.21,2003,0
Toronto Raptors,27.6,24,58,100.5,107,89.9,0.282,0.179,0.497,0.458,13.6,28.2,0.203,0.489,13.1,70.7,0.226,2003,0
Utah Jazz*,30.9,48,34,105.5,102.8,89.3,0.38,0.104,0.537,0.486,16,32.5,0.283,0.468,15.2,70.2,0.256,2003,1
Washington Wizards,28.4,38,44,103,104.1,88.2,0.325,0.127,0.513,0.46,13,27.3,0.253,0.477,13.8,71.6,0.212,2003,0
Atlanta Hawks,26.2,28,54,101,106.1,90.8,0.303,0.191,0.514,0.465,15.4,28.6,0.235,0.476,13.1,70.5,0.234,2004,0
Boston Celtics*,26.4,37,45,102.1,103.7,93.2,0.327,0.249,0.532,0.486,15.4,25.2,0.245,0.479,15.7,69.5,0.24,2004,1
Chicago Bulls,26.8,23,59,96.6,103.4,92.2,0.272,0.186,0.486,0.446,14.9,28.1,0.197,0.469,14.1,71.4,0.253,2004,0
Cleveland Cavaliers,24.9,33,49,101.4,104.2,90.8,0.301,0.116,0.498,0.451,13.7,31.1,0.226,0.469,12.3,73,0.221,2004,0
Dallas Mavericks*,27.4,53,29,112.1,107.4,93.2,0.256,0.201,0.536,0.495,11.1,31.4,0.204,0.498,13.9,71.6,0.214,2004,1
Denver Nuggets*,25.6,44,38,103.9,102.7,93.3,0.319,0.146,0.517,0.467,14.2,30.5,0.245,0.481,15.6,69.3,0.221,2004,1
Detroit Pistons*,27.4,59,23,102,95.4,87.9,0.328,0.153,0.511,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.202,2004,1
Golden State Warriors,28.1,39,43,103,103.8,89.8,0.311,0.197,0.517,0.475,14.1,28.4,0.226,0.476,13.3,72.1,0.211,2004,0
